iter	Passed	Remaining
399	33932	50898
400	34015	50810
401	34099	50725
402	34188	50646
403	34262	50545
404	34342	50453
405	34427	50369
406	34508	50279
407	34591	50190
408	34676	50107
409	34759	50020
410	34843	49933
411	34917	49834
412	35003	49750
413	35083	49658
414	35162	49566
415	35243	49475
416	35324	49386
417	35411	49304
418	35491	49214
419	35569	49119
420	35646	49024
421	35727	48934
422	35806	48842
423	35883	48747
424	35961	48653
425	36046	48569
426	36124	48476
427	36206	48387
428	36285	48296
429	36367	48207
430	36447	48117
431	36528	48028
432	36610	47940
433	36694	47854
434	36776	47767
435	36850	47669
436	36928	47576
437	37012	47490
438	37092	47401
439	37177	47316
440	37261	47232
441	37344	47145
442	37425	47056
443	37513	46976
444	37592	46884
445	37669	46791
446	37752	46705
447	37838	46622
448	37920	46534
449	38005	46451
450	38090	46367
451	38169	46276
452	38260	46199
453	38339	46108
454	38425	46026
455	38503	45933
456	38583	45844
457	38666	45757
458	38741	45662
459	38820	45571
460	38906	45489
461	38972	45383
462	39044	45284
463	39118	45188
464	39201	45102
465	39281	45013
466	39359	44922
467	39442	44836
468	39528	44753
469	39605	44661
470	39684	44571
471	39759	44476
472	39834	44381
473	39916	44296
474	40000	44210
475	40080	44122
476	40157	44029
477	40237	43941
478	40320	43856
479	40400	43767
480	40480	43678
481	40562	43592
482	40643	43504
483	40727	43419
484	40807	43331
485	40891	43246
486	40957	43144
487	41028	43045
488	41097	42946
489	41179	42860
490	41260	42772
491	41337	42682
492	41418	42594
493	41508	42516
494	41605	42446
495	41701	42374
496	41792	42296
497	41893	42230
498	41986	42154
499	42077	42077
500	42156	41988
501	42240	41903
502	42319	41814
503	42402	41729
504	42485	41643
505	42570	41560
506	42655	41478
507	42736	41390
508	42821	41307
509	42905	41222
510	42982	41132
511	43062	41044
512	43140	40954
513	43222	40867
514	43307	40784
515	43394	40703
516	43470	40611
517	43550	40523
518	43630	40436
519	43706	40344
520	43788	40258
521	43875	40177
522	43967	40100
523	44072	40035
524	44168	39962
525	44258	39883
526	44347	39803
527	44436	39723
528	44523	39642
529	44616	39565
530	44706	39486
531	44797	39408
532	44887	39329
533	44980	39252
534	45075	39178
535	45171	39103
536	45255	39018
537	45341	38936
538	45427	38853
539	45514	38771
540	45602	38690
541	45682	38602
542	45762	38515
543	45839	38424
544	45922	38338
545	46012	38259
546	46095	38173
547	46178	38089
548	46265	38006
549	46348	37921
550	46433	37837
551	46522	37757
552	46604	37671
553	46681	37581
554	46767	37497
555	46842	37406
556	46928	37324
557	47009	37237
558	47090	37150
559	47174	37065
560	47253	36977
561	47334	36890
562	47412	36801
563	47490	36712
564	47576	36630
565	47655	36541
566	47737	36455
567	47825	36374
568	47911	36291
569	47990	36202
570	48073	36118
571	48154	36031
572	48238	35947
573	48313	35856
574	48399	35773
575	48474	35682
576	48557	35597
577	48633	35507
578	48715	35421
579	48800	35338
580	48885	35254
581	48965	35167
582	49046	35081
583	49128	34995
584	49210	34910
585	49289	34822
